actor,film_name,release_year,genre,average_rating,director,watch_count,list_count,like_count
Zoe Saldana,Blood Ties,2013,Thriller,2.91,Guillaume Canet,3310,496,272
Zoe Saldana,This Changes Everything,2018,Documentary,3.8,Tom Donahue,932,764,246
Zoe Saldana,Lennon or McCartney,2014,Documentary,2.38,Matt Schichter,1667,185,123
Zoe Saldana,After Sex,2007,Drama,2.4,Eric Amadio,1647,216,94
Zoe Saldana,Unity,2015,Documentary,2.97,Shaun Monson,383,218,50
Zoe Saldana,Nina,2016,Drama,2.25,Cynthia Mort,840,371,73
Zoe Saldana,Dirty Deeds,2005,Drama,2.47,David Kendall,998,145,62
Zoe Saldana,Haven,2004,Crime,2.73,Frank E. Flowers,718,111,29
Zoe Saldana,Burning Palms,2010,Comedy,2.64,Christopher Landon,307,135,23
Zoe Saldana,The Skeptic,2009,Thriller,2.6,Tennyson Bardwell,405,100,19
Zoe Saldana,The Legend of Red Hand,2018,Mystery,3.33,Stefano Sollima,73,1,6
Zoe Saldana,Capturing Avatar,2010,Documentary,3.53,Laurent Bouzereau,168,14,25
Vin Diesel,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612314,118634,220380
Vin Diesel,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525571,124190,186227
Vin Diesel,Guardians of the Galaxy,2014,Adventure,3.84,James Gunn,695120,100832,233588
Vin Diesel,Guardians of the Galaxy Vol. 2,2017,Science Fiction,3.55,James Gunn,511577,92708,143042
Vin Diesel,Saving Private Ryan,1998,War,4.17,Steven Spielberg,343412,48727,90982
Vin Diesel,The Iron Giant,1999,Animation,4.16,Brad Bird,215537,28314,64276
Vin Diesel,Ralph Breaks the Internet,2018,Comedy,3.21,Rich Moore,156369,24968,27916
Vin Diesel,Furious 7,2015,Thriller,3.19,James Wan,141452,17667,20889
Vin Diesel,The Fast and the Furious,2001,Thriller,3.11,Rob Cohen,161972,13237,20363
Vin Diesel,The Fate of the Furious,2017,Crime,2.9,F. Gary Gray,106972,16400,13929
Vin Diesel,Fast Five,2011,Crime,3.36,Justin Lin,127000,15020,19662
Vin Diesel,Fast & Furious 6,2013,Action,3.1,Justin Lin,120695,13330,15234
Vin Diesel,The Fast and the Furious: Tokyo Drift,2006,Thriller,2.76,Justin Lin,114726,10348,12956
Vin Diesel,2 Fast 2 Furious,2003,Thriller,2.64,John Singleton,113737,10181,10656
Vin Diesel,Fast & Furious,2009,Drama,2.81,Justin Lin,106212,9588,9638
Vin Diesel,Awakenings,1990,Drama,3.77,Penny Marshall,34546,6011,7014
Vin Diesel,The Pacifier,2005,Comedy,2.35,Adam Shankman,79675,3879,4727
Vin Diesel,Pitch Black,2000,Science Fiction,3.28,David Twohy,49403,5657,7887
Vin Diesel,xXx: Return of Xander Cage,2017,Action,2.32,D.J. Caruso,31458,4442,2785
Vin Diesel,xXx,2002,Action,2.47,Rob Cohen,52836,2966,3136
Vin Diesel,Riddick,2013,Action,2.8,David Twohy,39953,3355,3905
Vin Diesel,The Chronicles of Riddick,2004,Action,2.81,David Twohy,45057,3264,4260
Vin Diesel,The Last Witch Hunter,2015,Science Fiction,2.39,Breck Eisner,24394,2627,1909
Vin Diesel,Billy Lynn's Long Halftime Walk,2016,Drama,2.86,Ang Lee,9745,3110,1063
Vin Diesel,Presumed Innocent,1990,Thriller,3.31,Alan J. Pakula,10005,1615,1224
Vin Diesel,Babylon A.D.,2008,Adventure,2.27,Mathieu Kassovitz,14219,1160,614
Vin Diesel,Boiler Room,2000,Crime,3.2,Ben Younger,10178,1334,1301
Vin Diesel,Find Me Guilty,2006,Drama,3.26,Sidney Lumet,4316,747,487
Vin Diesel,A Man Apart,2003,Drama,2.61,F. Gary Gray,6312,642,404
Vin Diesel,Knockaround Guys,2001,Thriller,2.67,Brian Koppelman,3560,500,239
Vin Diesel,The Chronicles of Riddick: Dark Fury,2004,Thriller,2.97,Peter Chung,2876,501,358
Vin Diesel,Los Bandoleros,2009,Drama,2.67,Vin Diesel,2053,260,197
Vin Diesel,Turbo Charged Prelude to 2 Fast 2 Furious,2003,Action,2.31,Philip G. Atwell,2080,271,167
Vin Diesel,Multi-Facial,1995,Drama,3.58,Vin Diesel,727,110,172
Vin Diesel,Riddick: Blindsided,2013,Science Fiction,2.79,Bonner Bellew,414,64,38
Vin Diesel,Strays,1997,Drama,2.87,Vin Diesel,257,245,38
Vin Diesel,The Giant's Dream: The Making of the Iron Giant,2016,Documentary,3.85,Anthony Giacchino,264,93,98
Vin Diesel,The Making of 'The Iron Giant',2000,Documentary,3.43,Kevin Gill,173,29,30
Vin Diesel,Into Pitch Black,2000,Action,2.94,M. David Melvin,179,59,13
Tessa Thompson,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525572,124190,186227
Tessa Thompson,Thor: Ragnarok,2017,Adventure,3.82,Taika Waititi,522499,102494,181118
Tessa Thompson,Annihilation,2018,Science Fiction,3.62,Alex Garland,319298,73441,88899
Tessa Thompson,Sorry to Bother You,2018,Comedy,3.75,Boots Riley,167327,42276,52273
Tessa Thompson,Creed,2015,Drama,3.81,Ryan Coogler,179993,35686,46465
Tessa Thompson,Creed II,2018,Drama,3.51,Steven Caple Jr.,75464,21314,18123
Tessa Thompson,Selma,2014,Drama,3.78,Ava DuVernay,80269,18948,16348
Tessa Thompson,Men in Black: International,2019,Science Fiction,2.39,F. Gary Gray,65265,14677,6215
Tessa Thompson,Between Two Ferns: The Movie,2019,Comedy,2.79,Scott Aukerman,46094,10467,6822
Tessa Thompson,Dear White People,2014,Comedy,3.43,Justin Simien,26555,4846,4469
Tessa Thompson,Lady and the Tramp,2019,Romance,2.81,Charlie Bean,14465,4508,2153
Tessa Thompson,Dirty Computer,2018,Romance,4.17,Emma Westenberg,9705,2733,3807
Tessa Thompson,Little Woods,2018,Drama,3.39,Nia DaCosta,5259,3161,1144
Tessa Thompson,When a Stranger Calls,2006,Horror,2.3,Simon West,20365,2464,1207
Tessa Thompson,War on Everyone,2016,Action,2.72,John Michael McDonagh,7090,2012,859
Tessa Thompson,For Colored Girls,2010,Drama,3.07,Tyler Perry,1487,534,221
Tessa Thompson,Furlough,2018,Comedy,2.67,Laurie Collyer,743,349,77
Tessa Thompson,Mississippi Damned,2009,Drama,3.61,Tina Mabry,392,375,85
Tessa Thompson,Make It Happen,2008,Drama,2.35,Darren Grant,1261,467,59
Tessa Thompson,100 Years,2017,Animation,3.14,Lena Dunham,271,82,16
Tessa Thompson,The Initiation of Sarah,2006,Horror,2.52,Stuart Gillard,271,130,17
Tessa Thompson,The Making of Annihilation,2018,Documentary,3.4,Jon Mefford,230,11,42
Tessa Thompson,The Human Contract,2008,Drama,2.51,Jada Pinkett Smith,176,72,7
Tessa Thompson,Murder on the 13th Floor,2012,Thriller,2.71,Hanelle M. Culpepper,74,54,3
Elizabeth Olsen,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612315,118636,220381
Elizabeth Olsen,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525572,124189,186227
Elizabeth Olsen,Captain America: Civil War,2016,Action,3.61,Anthony Russo,523013,84234,136679
Elizabeth Olsen,Captain America: The Winter Soldier,2014,Action,3.77,Anthony Russo,511424,84505,140857
Elizabeth Olsen,Avengers: Age of Ultron,2015,Science Fiction,3.09,Joss Whedon,502307,70307,93967
Elizabeth Olsen,Godzilla,2014,Action,2.99,Gareth Edwards,197590,19336,28760
Elizabeth Olsen,Wind River,2017,Drama,3.79,Taylor Sheridan,113773,27646,30810
Elizabeth Olsen,Ingrid Goes West,2017,Drama,3.39,Matt Spicer,76459,20750,16438
Elizabeth Olsen,Kill Your Darlings,2013,Drama,3.48,John Krokidas,44362,7754,9692
Elizabeth Olsen,Martha Marcy May Marlene,2011,Thriller,3.64,Sean Durkin,31332,8638,6243
Elizabeth Olsen,Oldboy,2013,Thriller,2.13,Spike Lee,31172,3774,1937
Elizabeth Olsen,Liberal Arts,2012,Drama,3.04,Josh Radnor,16683,1936,2130
Elizabeth Olsen,Red Lights,2012,Thriller,2.71,Rodrigo Cortés,11885,1386,1026
Elizabeth Olsen,Kodachrome,2017,Drama,3.14,Mark Raso,6647,1549,1278
Elizabeth Olsen,Silent House,2011,Horror,2.54,Chris Kentis,9733,2015,719
Elizabeth Olsen,Very Good Girls,2013,Drama,2.62,Naomi Foner Gyllenhaal,7910,1115,608
Elizabeth Olsen,I Saw the Light,2015,Music,2.58,Marc Abraham,3749,1211,336
Elizabeth Olsen,In Secret,2013,Thriller,2.73,Charlie Stratton,3352,767,289
Elizabeth Olsen,"Peace, Love & Misunderstanding",2011,Comedy,2.6,Bruce Beresford,2582,357,178
Elizabeth Olsen,How the West Was Fun,1994,Family,2.4,Stuart Margolin,2353,139,77
Elizabeth Olsen,Celebrating Marvel's Stan Lee,2019,Documentary,3.51,Lily Olszewski,101,8,18
Brie Larson,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525572,124191,186227
Brie Larson,Scott Pilgrim vs. the World,2010,Romance,3.89,Edgar Wright,467314,73991,161180
Brie Larson,Captain Marvel,2019,Science Fiction,3.19,Ryan Fleck,367263,87110,83456
Brie Larson,Room,2015,Thriller,4.05,Lenny Abrahamson,324194,49211,97544
Brie Larson,21 Jump Street,2012,Comedy,3.51,Phil Lord,331680,20608,65293
Brie Larson,Kong: Skull Island,2017,Action,3.02,Jordan Vogt-Roberts,193186,24958,31390
Brie Larson,Short Term 12,2013,Drama,4.12,Destin Daniel Cretton,89735,24230,31136
Brie Larson,The Spectacular Now,2013,Drama,3.31,James Ponsoldt,122585,25878,20314
Brie Larson,13 Going on 30,2004,Romance,3.33,Gary Winick,171850,14799,27316
Brie Larson,Don Jon,2013,Drama,2.95,Joseph Gordon-Levitt,111350,8220,12684
Brie Larson,Trainwreck,2015,Comedy,2.85,Judd Apatow,104281,10144,11574
Brie Larson,Free Fire,2016,Mystery,3.22,Ben Wheatley,52330,15580,10900
Brie Larson,Just Mercy,2019,Crime,3.82,Destin Daniel Cretton,34344,22247,10376
Brie Larson,Unicorn Store,2017,Comedy,3,Brie Larson,42449,14797,8504
Brie Larson,Between Two Ferns: The Movie,2019,Comedy,2.79,Scott Aukerman,46094,10466,6822
Brie Larson,Greenberg,2010,Comedy,3.14,Noah Baumbach,25489,5326,3200
Brie Larson,The Glass Castle,2017,Drama,3.27,Destin Daniel Cretton,16263,3769,2836
Brie Larson,The Gambler,2014,Crime,2.69,Rupert Wyatt,17235,2349,1471
Brie Larson,Sleepover,2004,Comedy,2.65,Joe Nussbaum,16698,2277,1571
Brie Larson,Digging for Fire,2015,Drama,2.99,Joe Swanberg,6229,1747,830
Brie Larson,Rampart,2011,Drama,2.87,Oren Moverman,7625,1457,662
Brie Larson,Harmontown,2014,Documentary,3.37,Neil Berkeley,5620,575,1077
Brie Larson,Tanner Hall,2009,Drama,2.58,Francesca Gregorini,3245,784,303
Brie Larson,Hoot,2006,Family,2.2,Wil Shriner,9685,677,422
Brie Larson,Fantastic Fungi,2019,Documentary,3.53,Louie Schwartzberg,1737,217,446
Brie Larson,Basmati Blues,2017,Romance,1.8,Dan Baron,769,283,52
Brie Larson,Remember the Daze,2007,Comedy,2.57,Jessica Manafort,906,54,91
Brie Larson,Right on Track,2003,TV Movie,2.63,Duwayne Dunham,2511,406,118
Brie Larson,Weighting,2011,Comedy,3.44,Brie Larson,746,206,165
Brie Larson,The Trouble with Bliss,2011,Comedy,2.33,Michael Knowles,555,98,23
Brie Larson,Farce of the Penguins,2006,Comedy,1.79,Bob Saget,973,186,31
Brie Larson,Bitter Orange,2013,Crime,2.69,Hope Larson,455,286,41
Brie Larson,House Broken,2009,Comedy,1.96,Sam Harper,376,86,13
Brie Larson,The Babysitter,2008,Comedy,2.05,David H. Steinberg,285,46,9
Brie Larson,Journey to the Oscars,2016,Documentary,2.9,John Hirsch,496,34,13
Brie Larson,Just Peck,2009,Comedy,2.83,Michael A. Nickles,272,64,15
Brie Larson,Madison,2001,Drama,2.96,William Bindley,168,96,10
Bradley Cooper,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612315,118637,220381
Bradley Cooper,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525572,124198,186227
Bradley Cooper,Guardians of the Galaxy,2014,Adventure,3.84,James Gunn,695122,100841,233590
Bradley Cooper,Guardians of the Galaxy Vol. 2,2017,Science Fiction,3.55,James Gunn,511577,92712,143042
Bradley Cooper,A Star Is Born,2018,Romance,3.68,Bradley Cooper,314243,56940,85080
Bradley Cooper,Silver Linings Playbook,2012,Drama,3.6,David O. Russell,366762,34681,77198
Bradley Cooper,10 Cloverfield Lane,2016,Science Fiction,3.61,Dan Trachtenberg,267701,34526,67905
Bradley Cooper,The Hangover,2009,Comedy,3.39,Todd Phillips,359967,17916,55828
Bradley Cooper,American Hustle,2013,Drama,3.28,David O. Russell,238640,22600,36410
Bradley Cooper,The Place Beyond the Pines,2012,Drama,3.72,Derek Cianfrance,130948,20914,33415
Bradley Cooper,American Sniper,2014,War,3.15,Clint Eastwood,187863,17223,26918
Bradley Cooper,Limitless,2011,Science Fiction,3.24,Neil Burger,162706,8812,22980
Bradley Cooper,The Hangover Part II,2011,Comedy,2.64,Todd Phillips,186542,7421,14240
Bradley Cooper,Yes Man,2008,Comedy,2.93,Peyton Reed,151525,7745,14271
Bradley Cooper,Joy,2015,Comedy,3.04,David O. Russell,85183,9533,10058
Bradley Cooper,War Dogs,2016,Drama,3.19,Todd Phillips,82256,10168,11778
Bradley Cooper,The Hangover Part III,2013,Comedy,2.42,Todd Phillips,124899,6328,8419
Bradley Cooper,The Mule,2018,Thriller,3.21,Clint Eastwood,49232,10629,9054
Bradley Cooper,Wedding Crashers,2005,Romance,3.04,David Dobkin,123948,7076,13042
Bradley Cooper,Wet Hot American Summer,2001,Comedy,3.53,David Wain,64462,10903,14031
Bradley Cooper,He's Just Not That Into You,2009,Comedy,2.73,Ken Kwapis,65897,5930,6127
Bradley Cooper,The A-Team,2010,Crime,2.72,Joe Carnahan,68300,4247,6062
Bradley Cooper,Valentine's Day,2010,Comedy,2.36,Garry Marshall,68982,4167,3848
Bradley Cooper,Burnt,2015,Comedy,2.9,John Wells,33606,3243,3747
Bradley Cooper,Aloha,2015,Drama,2.16,Cameron Crowe,31526,4139,1884
Bradley Cooper,Failure to Launch,2006,Comedy,2.31,Tom Dey,33038,2357,1651
Bradley Cooper,The Midnight Meat Train,2008,Mystery,2.76,Ryûhei Kitamura,20819,3357,2293
Bradley Cooper,Case 39,2009,Thriller,2.64,Christian Alvart,22551,2029,1411
Bradley Cooper,The Words,2012,Thriller,3.05,Brian Klugman,11575,1149,1286
Bradley Cooper,Serena,2014,Drama,2.29,Susanne Bier,9567,1510,466
Bradley Cooper,"New York, I Love You",2008,Drama,2.76,Natalie Portman,13090,1122,767
Bradley Cooper,The Rocker,2008,Music,2.61,Peter Cattaneo,13293,1198,1027
Bradley Cooper,All About Steve,2009,Comedy,1.87,Phil Traill,14895,1231,631
Bradley Cooper,Hit & Run,2012,Romance,2.76,Dax Shepard,6609,1047,677
Bradley Cooper,Lennon or McCartney,2014,Documentary,2.38,Matt Schichter,1667,185,123
Bradley Cooper,My Little Eye,2002,Horror,2.62,Marc Evans,2906,803,199
Bradley Cooper,Hurricane of Fun: The Making of Wet Hot,2015,Documentary,3.38,Amy Rice,3364,428,538
Bradley Cooper,The Comebacks,2007,Comedy,1.84,Tom Brady,1939,370,95
Bradley Cooper,Making a Scene,2013,Fantasy,2.92,Janusz Kamiński,589,90,39
Bradley Cooper,Saturday Night Live 40th Anniversary Special,2015,Comedy,3.65,Don Roy King,1581,2,230
Bradley Cooper,I Want to Marry Ryan Banks,2004,Romance,2.72,Sheldon Larry,335,65,35
Bradley Cooper,Older Than America,2008,Thriller,2.86,Georgina Lightning,144,72,8
Bradley Cooper,"Baby, Baby, Baby",2015,Drama,2.93,Brian Klugman,124,54,18
Bradley Cooper,One Soldier's Story: The Journey of American Sniper,2015,Documentary,3.22,Gary Leva,347,24,49
Bradley Cooper,Brother's Justice,2010,Comedy,2.8,Dax Shepard,124,43,8
Bradley Cooper,Bending All The Rules,2002,Comedy,2.48,Morgan Klein,107,37,4
Dave Bautista,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612317,118640,220382
Dave Bautista,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525572,124201,186227
Dave Bautista,Guardians of the Galaxy,2014,Adventure,3.84,James Gunn,695122,100842,233590
Dave Bautista,Blade Runner 2049,2017,Science Fiction,4.11,Denis Villeneuve,394102,116625,146173
Dave Bautista,Guardians of the Galaxy Vol. 2,2017,Science Fiction,3.55,James Gunn,511577,92713,143042
Dave Bautista,Spectre,2015,Action,3.04,Sam Mendes,230998,49802,29332
Dave Bautista,Hotel Artemis,2018,Thriller,2.82,Drew Pearce,28114,6685,3916
Dave Bautista,Stuber,2019,Thriller,2.74,Michael Dowse,26260,7347,4152
Dave Bautista,Riddick,2013,Action,2.8,David Twohy,39953,3355,3905
Dave Bautista,The Man with the Iron Fists,2012,Action,2.5,RZA,13620,1780,1268
Dave Bautista,2048: Nowhere to Run,2017,Action,3.3,Luke Scott,11975,1299,2005
Dave Bautista,"My Son, My Son, What Have Ye Done",2009,Thriller,3.24,Werner Herzog,6762,1556,1060
Dave Bautista,Escape Plan 2: Hades,2018,Action,1.7,Steven C. Miller,7034,1127,380
Dave Bautista,Bushwick,2017,Action,2.53,Cary Murnion,4101,946,464
Dave Bautista,Master Z: Ip Man Legacy,2018,Action,3.2,Yuen Woo-ping,3146,885,679
Dave Bautista,Final Score,2018,Action,2.66,Scott Mann,2989,980,369
Dave Bautista,Heist,2015,Crime,2.65,Scott Mann,3706,524,357
Dave Bautista,Escape Plan: The Extractors,2019,Thriller,1.98,John Herzfeld,2844,1222,183
Dave Bautista,Marauders,2016,Action,2.4,Steven C. Miller,2741,633,203
Dave Bautista,Kickboxer: Vengeance,2016,Drama,2.22,John Stockwell,2524,526,187
Dave Bautista,The Scorpion King 3: Battle for Redemption,2012,Fantasy,1.79,Roel Reiné,1478,352,74
Dave Bautista,The Warriors Gate,2016,Action,2.48,Matthias Hoene,797,215,84
Dave Bautista,Designing the World of Blade Runner 2049,2018,Documentary,3.68,Len Ciccotello,459,129,70
Dave Bautista,L.A. Slasher,2015,Comedy,2.05,Martin Owen,198,157,10
Dave Bautista,Wrong Side of Town,2010,Crime,1.84,David DeFalco,375,78,20
Dave Bautista,House of the Rising Sun,2011,Action,2.32,Brian Miller,251,77,11
Dave Bautista,WWE Extreme Rules 2014,2014,Action,3.26,Kevin Dunn,227,39,25
Dave Bautista,WWE Royal Rumble 2005,2005,Drama,3.41,Kevin Dunn,199,11,27
Dave Bautista,WWE Royal Rumble 2004,2004,Drama,3.58,Kevin Dunn,181,10,33
Dave Bautista,WWE Payback 2014,2014,Action,3.21,Kevin Dunn,152,36,19
Dave Bautista,WWE Royal Rumble 2010,2010,Action,3.46,Kevin Dunn,184,9,22
Dave Bautista,WWE Royal Rumble 2003,2003,Drama,3.41,Kevin Dunn,139,56,22
Dave Bautista,WWE SummerSlam 2005,2005,Action,3.39,Kevin Dunn,130,90,16
Dave Bautista,WWE SummerSlam 2004,2004,Drama,3.37,Kevin Dunn,112,159,17
Dave Bautista,WWE Survivor Series 2007,2007,Action,3.37,Kevin Dunn,133,99,17
Dave Bautista,WWE Survivor Series 2004,2004,Drama,3.25,Kevin Dunn,126,14,10
Dave Bautista,WWE: Top 50 Superstars of All Time,2010,Documentary,3.36,Kevin Dunn,92,6,12
Dave Bautista,WWE Survivor Series 2005,2005,Drama,3.35,Kevin Dunn,106,10,15
Dave Bautista,WWE Survivor Series 2006,2006,Action,3.27,Kevin Dunn,120,139,13
Dave Bautista,WWE SummerSlam 2007,2007,Action,3.18,Kevin Dunn,119,8,11
Dave Bautista,WWE Extreme Rules 2010,2010,Action,3.25,Kevin Dunn,115,8,11
Dave Bautista,WWE New Year's Revolution 2005,2005,Action,3.22,Kevin Dunn,91,14,10
Dave Bautista,WWE Elimination Chamber 2010,2010,Action,3.32,Kevin Dunn,99,4,9
Dave Bautista,WWE Extreme Rules 2009,2009,Action,3.38,Kevin Dunn,100,38,9
Dave Bautista,WWE Survivor Series 2009,2009,Action,3.35,Kevin Dunn,106,61,10
Dave Bautista,WWE SummerSlam 2008,2008,Drama,3.33,Kevin Dunn,104,14,12
Dave Bautista,WWE Hell in a Cell 2009,2009,Action,3.24,Kevin Dunn,97,46,8
Dave Bautista,WWE Vengeance: Night of Champions 2007,2007,Action,3.17,Kevin Dunn,107,4,8
Dave Bautista,WWE Backlash 2009,2009,Action,3.38,Kevin Dunn,95,9,8
Tom Hiddleston,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612319,118641,220382
Tom Hiddleston,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525574,124203,186227
Tom Hiddleston,Thor: Ragnarok,2017,Adventure,3.82,Taika Waititi,522502,102500,181119
Tom Hiddleston,The Avengers,2012,Science Fiction,3.69,Joss Whedon,634615,101159,164893
Tom Hiddleston,Thor,2011,Fantasy,2.97,Kenneth Branagh,437449,59582,63845
Tom Hiddleston,Thor: The Dark World,2013,Fantasy,2.6,Alan Taylor,358352,57340,41580
Tom Hiddleston,Midnight in Paris,2011,Fantasy,3.72,Woody Allen,245070,30325,60581
Tom Hiddleston,Kong: Skull Island,2017,Action,3.02,Jordan Vogt-Roberts,193187,24958,31390
Tom Hiddleston,Crimson Peak,2015,Romance,3.25,Guillermo del Toro,122076,20852,23520
Tom Hiddleston,Only Lovers Left Alive,2013,Romance,3.77,Jim Jarmusch,82656,20951,25129
Tom Hiddleston,War Horse,2011,Action,3.2,Steven Spielberg,70881,13478,8667
Tom Hiddleston,High-Rise,2015,Drama,3,Ben Wheatley,37958,9640,5190
Tom Hiddleston,Muppets Most Wanted,2014,Adventure,2.94,James Bobin,37753,5376,4212
Tom Hiddleston,Early Man,2018,Animation,2.87,Nick Park,18028,5488,2401
Tom Hiddleston,The Deep Blue Sea,2011,Romance,3.32,Terence Davies,10439,2892,1596
Tom Hiddleston,Unrelated,2007,Drama,3.5,Joanna Hogg,3144,1290,688
Tom Hiddleston,Archipelago,2010,Drama,3.4,Joanna Hogg,2787,1254,516
Tom Hiddleston,Leading Lady Parts,2018,Comedy,4,Jessica Swale,5314,695,1171
Tom Hiddleston,I Saw the Light,2015,Music,2.58,Marc Abraham,3749,1211,336
Tom Hiddleston,Conspiracy,2001,Drama,3.68,Frank Pierson,4346,869,760
Tom Hiddleston,Tinker Bell and the Pirate Fairy,2014,Animation,2.99,Peggy Holmes,7992,1035,734
Tom Hiddleston,Exhibition,2013,Drama,3.26,Joanna Hogg,1951,985,291
Tom Hiddleston,The Hollow Crown: Henry V,2012,History,3.82,Thea Sharrock,1644,305,343
Tom Hiddleston,The Hollow Crown: Henry IV - Part 1,2012,History,3.79,Richard Eyre,1823,303,345
Tom Hiddleston,Unity,2015,Documentary,2.97,Shaun Monson,383,218,50
Tom Hiddleston,The Hollow Crown: Henry IV - Part 2,2012,History,3.73,Richard Eyre,1467,286,257
Tom Hiddleston,National Theatre Live: Coriolanus,2014,Drama,3.98,Josie Rourke,1139,311,319
Tom Hiddleston,Miss Austen Regrets,2008,Drama,3.26,Jeremy Lovering,1055,227,116
Tom Hiddleston,The Gathering Storm,2002,Drama,3.41,Richard Loncraine,729,181,107
Tom Hiddleston,Out of Time,2012,Science Fiction,2.98,Josh Appignanesi,275,35,18
Tom Hiddleston,Friend Request Pending,2011,Comedy,3.21,Chris Foggin,335,48,29
Tom Hiddleston,Stars In Shorts,2012,Comedy,3.21,Rupert Friend,112,45,8
Tom Hiddleston,Out of Darkness,2013,Drama,3.55,Manjinder Virk,113,26,19
Tom Hiddleston,Faceless Killers,2010,Thriller,3.37,Hettie MacDonald,393,38,39
Tom Hiddleston,Firewall,2008,Thriller,3.36,Niall MacCormick,418,22,42
Tom Hiddleston,One Step Behind,2008,Crime,3.44,Philip Martin,407,18,39
Tom Hiddleston,The Life and Adventures of Nicholas Nickleby,2001,Drama,3.32,Stephen Whittaker,146,30,14
Tom Hiddleston,Celebrating Marvel's Stan Lee,2019,Documentary,3.51,Lily Olszewski,101,8,18
Tom Hiddleston,Sidetracked,2008,Mystery,3.38,Philip Martin,197,19,22
Tom Hiddleston,Creating a King: Summoning a God,2017,Documentary,3.3,Jason Marvel,98,17,13
Pom Klementieff,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612319,118642,220382
Pom Klementieff,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525575,124204,186228
Pom Klementieff,Uncut Gems,2019,Drama,4.02,Josh Safdie,339152,86336,124064
Pom Klementieff,Guardians of the Galaxy Vol. 2,2017,Science Fiction,3.55,James Gunn,511579,92715,143043
Pom Klementieff,Ingrid Goes West,2017,Drama,3.39,Matt Spicer,76459,20750,16438
Pom Klementieff,The Addams Family,2019,Animation,2.63,Conrad Vernon,20843,7829,2716
Pom Klementieff,Oldboy,2013,Thriller,2.13,Spike Lee,31172,3774,1937
Pom Klementieff,Newness,2017,Romance,2.97,Drake Doremus,9600,1210,1351
Pom Klementieff,Delicacy,2011,Drama,3.3,Stéphane Foenkinos,3947,512,553
Pom Klementieff,Sleepless Night,2011,Thriller,3.43,Frédéric Jardin,1880,521,353
Pom Klementieff,Love Lasts Three Years,2011,Romance,2.85,Frédéric Beigbeder,1076,101,106
Pom Klementieff,Paris or Perish,2013,Comedy,2.73,Reem Kherici,499,66,43
Pom Klementieff,Time of Day,2018,Drama,3.04,Thimios Bakatakis,173,46,27
Pom Klementieff,Radiostars,2012,Comedy,3.04,Romain Lévy,407,64,37
Pom Klementieff,Porn in the Hood,2012,Comedy,2.47,Franck Gastambide,371,27,22
Pom Klementieff,After Him,2007,Drama,3.1,Gaël Morel,147,52,11
Pom Klementieff,Alteration,2017,Science Fiction,3.13,Jérôme Blanquet,99,47,11
Pom Klementieff,Hacker's Game,2015,Thriller,2.84,Cyril Morin,57,21,4
Pom Klementieff,Loup,2009,Adventure,3.26,Nicolas Vanier,80,24,8
Pom Klementieff,The Easy Way,2008,Crime,3.07,Jean-Paul Rouve,101,21,10
Pom Klementieff,Borderline,2011,Action,3.07,Alexandre Coffre,86,34,1
Scarlett Johansson,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612521,118954,220442
Scarlett Johansson,Her,2013,Romance,4.09,Spike Jonze,541806,91466,206861
Scarlett Johansson,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525762,124536,186285
Scarlett Johansson,Jojo Rabbit,2019,Comedy,4.02,Taika Waititi,342675,115970,138852
Scarlett Johansson,Marriage Story,2019,Drama,4.06,Noah Baumbach,365233,93801,132588
Scarlett Johansson,Thor: Ragnarok,2017,Adventure,3.82,Taika Waititi,522638,102721,181158
Scarlett Johansson,The Avengers,2012,Science Fiction,3.69,Joss Whedon,634782,101364,164928
Scarlett Johansson,Captain America: Civil War,2016,Science Fiction,3.61,Anthony Russo,523150,84459,136714
Scarlett Johansson,Captain Marvel,2019,Action,3.19,Ryan Fleck,367385,87297,83483
Scarlett Johansson,Captain America: The Winter Soldier,2014,Action,3.77,Anthony Russo,511553,84764,140894
Scarlett Johansson,Avengers: Age of Ultron,2015,Action,3.09,Joss Whedon,502433,70446,93990
Scarlett Johansson,Isle of Dogs,2018,Adventure,3.91,Wes Anderson,254129,65181,88631
Scarlett Johansson,Lost in Translation,2003,Comedy,3.92,Sofia Coppola,316817,54836,95547
Scarlett Johansson,The Prestige,2006,Drama,4.11,Christopher Nolan,358620,51794,111247
Scarlett Johansson,Iron Man 2,2010,Adventure,2.9,Jon Favreau,430083,59661,57409
